id,indicator_ticker,record_date,value,is_estimated
10307,US_10Y,2025-12-24,4.15,f
10306,US_10Y,2025-12-23,4.18,f
10305,US_10Y,2025-12-22,4.17,f
10304,US_10Y,2025-12-19,4.16,f
10303,US_10Y,2025-12-18,4.12,f
10302,US_10Y,2025-12-17,4.16,f
10301,US_10Y,2025-12-16,4.15,f
10300,US_10Y,2025-12-15,4.18,f
10299,US_10Y,2025-12-12,4.19,f
10298,US_10Y,2025-12-11,4.14,f
10297,US_10Y,2025-12-10,4.13,f
10296,US_10Y,2025-12-09,4.18,f
10295,US_10Y,2025-12-08,4.17,f
10294,US_10Y,2025-12-05,4.14,f
10293,US_10Y,2025-12-04,4.11,f
10292,US_10Y,2025-12-03,4.06,f
10291,US_10Y,2025-12-02,4.09,f
10290,US_10Y,2025-12-01,4.09,f
10289,US_10Y,2025-11-28,4.02,f
10288,US_10Y,2025-11-26,4.0,f
10287,US_10Y,2025-11-25,4.01,f
10286,US_10Y,2025-11-24,4.04,f
10285,US_10Y,2025-11-21,4.06,f
10284,US_10Y,2025-11-20,4.1,f
10283,US_10Y,2025-11-19,4.13,f
10282,US_10Y,2025-11-18,4.12,f
10281,US_10Y,2025-11-17,4.13,f
10280,US_10Y,2025-11-14,4.14,f
10279,US_10Y,2025-11-13,4.11,f
10278,US_10Y,2025-11-12,4.08,f
10277,US_10Y,2025-11-10,4.13,f
10276,US_10Y,2025-11-07,4.11,f
10275,US_10Y,2025-11-06,4.11,f
10274,US_10Y,2025-11-05,4.17,f
10273,US_10Y,2025-11-04,4.1,f
10272,US_10Y,2025-11-03,4.13,f
10271,US_10Y,2025-10-31,4.11,f
10270,US_10Y,2025-10-30,4.11,f
10269,US_10Y,2025-10-29,4.08,f
10268,US_10Y,2025-10-28,3.99,f
10267,US_10Y,2025-10-27,4.01,f
10266,US_10Y,2025-10-24,4.02,f
10265,US_10Y,2025-10-23,4.01,f
10264,US_10Y,2025-10-22,3.97,f
10263,US_10Y,2025-10-21,3.98,f
10262,US_10Y,2025-10-20,4.0,f
10261,US_10Y,2025-10-17,4.02,f
10260,US_10Y,2025-10-16,3.99,f
10259,US_10Y,2025-10-15,4.05,f
10258,US_10Y,2025-10-14,4.03,f
10257,US_10Y,2025-10-10,4.05,f
10256,US_10Y,2025-10-09,4.14,f
10255,US_10Y,2025-10-08,4.13,f
10254,US_10Y,2025-10-07,4.14,f
10253,US_10Y,2025-10-06,4.18,f
10252,US_10Y,2025-10-03,4.13,f
10251,US_10Y,2025-10-02,4.1,f
10250,US_10Y,2025-10-01,4.12,f
10249,US_10Y,2025-09-30,4.16,f
10248,US_10Y,2025-09-29,4.15,f
10247,US_10Y,2025-09-26,4.2,f
10246,US_10Y,2025-09-25,4.18,f
10245,US_10Y,2025-09-24,4.16,f
10244,US_10Y,2025-09-23,4.12,f
10243,US_10Y,2025-09-22,4.15,f
10242,US_10Y,2025-09-19,4.14,f
10241,US_10Y,2025-09-18,4.11,f
10240,US_10Y,2025-09-17,4.06,f
10239,US_10Y,2025-09-16,4.04,f
10238,US_10Y,2025-09-15,4.05,f
10237,US_10Y,2025-09-12,4.06,f
10236,US_10Y,2025-09-11,4.01,f
10235,US_10Y,2025-09-10,4.04,f
10234,US_10Y,2025-09-09,4.08,f
10233,US_10Y,2025-09-08,4.05,f
10232,US_10Y,2025-09-05,4.1,f
10231,US_10Y,2025-09-04,4.17,f
10230,US_10Y,2025-09-03,4.22,f
10229,US_10Y,2025-09-02,4.28,f
10228,US_10Y,2025-08-29,4.23,f
10227,US_10Y,2025-08-28,4.22,f
10226,US_10Y,2025-08-27,4.24,f
10225,US_10Y,2025-08-26,4.26,f
10224,US_10Y,2025-08-25,4.28,f
10223,US_10Y,2025-08-22,4.26,f
10222,US_10Y,2025-08-21,4.33,f
10221,US_10Y,2025-08-20,4.29,f
10220,US_10Y,2025-08-19,4.3,f
10219,US_10Y,2025-08-18,4.34,f
10218,US_10Y,2025-08-15,4.33,f
10217,US_10Y,2025-08-14,4.29,f
10216,US_10Y,2025-08-13,4.24,f
10215,US_10Y,2025-08-12,4.29,f
10214,US_10Y,2025-08-11,4.27,f
10213,US_10Y,2025-08-08,4.27,f
10212,US_10Y,2025-08-07,4.23,f
10211,US_10Y,2025-08-06,4.22,f
10210,US_10Y,2025-08-05,4.22,f
10209,US_10Y,2025-08-04,4.22,f
10208,US_10Y,2025-08-01,4.23,f
10207,US_10Y,2025-07-31,4.37,f
10206,US_10Y,2025-07-30,4.38,f
10205,US_10Y,2025-07-29,4.34,f
10204,US_10Y,2025-07-28,4.42,f
10203,US_10Y,2025-07-25,4.4,f
10202,US_10Y,2025-07-24,4.43,f
10201,US_10Y,2025-07-23,4.4,f
10200,US_10Y,2025-07-22,4.35,f
10199,US_10Y,2025-07-21,4.38,f
10198,US_10Y,2025-07-18,4.44,f
10197,US_10Y,2025-07-17,4.47,f
10196,US_10Y,2025-07-16,4.46,f
10195,US_10Y,2025-07-15,4.5,f
10194,US_10Y,2025-07-14,4.43,f
10193,US_10Y,2025-07-11,4.43,f
10192,US_10Y,2025-07-10,4.35,f
10191,US_10Y,2025-07-09,4.34,f
10190,US_10Y,2025-07-08,4.42,f
10189,US_10Y,2025-07-07,4.4,f
10188,US_10Y,2025-07-03,4.35,f
10187,US_10Y,2025-07-02,4.3,f
10186,US_10Y,2025-07-01,4.26,f
10185,US_10Y,2025-06-30,4.24,f
10184,US_10Y,2025-06-27,4.29,f
10183,US_10Y,2025-06-26,4.26,f
10182,US_10Y,2025-06-25,4.29,f
10181,US_10Y,2025-06-24,4.3,f
10180,US_10Y,2025-06-23,4.34,f
